urgencia,ubicacion,ubicacion_especifica,piso,es_fase_2,tipo,fecha_hora
low,estacionamiento,,-1,False,agresión,2025-02-05 01:09:00
low,jardines,,6,False,plagio,2025-02-06 09:04:00
low,entrada fase 2,,1,True,agresión,2025-01-18 02:42:00
low,sala de estudio,E811,8,False,agresión,2025-03-22 08:28:00
medium,counter alumnos,,1,False,plagio,2025-06-29 16:02:00
low,jardines,,6,False,plagio,2025-04-18 12:29:00
medium,estacionamiento,,-1,False,plagio,2025-01-27 10:13:00
medium,el café,,6,False,plagio,2025-10-13 03:29:00
high,lia cook,,11,False,plagio,2025-05-04 12:04:00
low,dirección general,,10,False,plagio,2025-03-24 14:36:00
medium,sala sum,,1,False,agresión,2025-03-07 06:16:00
medium,laboratorio,L407,4,False,plagio,2025-01-26 16:33:00
low,comedor,,1,True,comportamiento,2025-02-09 16:41:00
medium,counter alumnos,,1,False,plagio,2025-05-17 13:57:00
low,counter alumnos,,1,False,plagio,2025-08-27 06:13:00
low,lia cook,,11,False,plagio,2025-06-29 14:50:00
medium,auditorio,,-1,False,comportamiento,2025-01-12 02:40:00
low,estacionamiento,,-1,False,comportamiento,2025-06-29 22:33:00
low,entrada fase 2,,1,True,discriminación,2025-04-08 19:23:00
medium,patio,,-1,True,plagio,2025-07-16 23:55:00
low,aula,A804,8,False,plagio,2025-06-01 20:04:00
medium,sala de estudio,E814,8,False,plagio,2025-08-27 00:21:00
low,counter alumnos,,1,False,plagio,2025-02-28 07:25:00
low,aula,A901,9,False,plagio,2025-10-26 18:03:00
low,counter alumnos,,1,False,comportamiento,2025-08-18 22:25:00
low,laboratorio,L412,4,False,plagio,2025-01-21 02:14:00
low,entrada,,1,False,plagio,2025-09-01 22:39:00
low,sala de estudio,E815,8,False,comportamiento,2025-01-15 22:26:00
low,sala de estudio,E1002,10,False,plagio,2025-01-26 01:50:00
medium,counter admisión,,1,False,plagio,2025-04-20 16:02:00
medium,entrada,,1,False,plagio,2025-02-06 16:12:00
low,lia cook,,11,False,plagio,2025-10-02 08:07:00
low,sala sum,,1,False,agresión,2025-03-15 20:11:00
high,counter admisión,,1,False,plagio,2025-04-12 20:41:00
low,lia cook,,11,False,plagio,2025-09-14 21:01:00
medium,sala de estudio,E1002,10,False,comportamiento,2025-03-21 05:52:00
medium,entrada fase 2,,1,True,comportamiento,2025-05-18 14:33:00
high,jardines,,6,False,comportamiento,2025-10-07 02:41:00
medium,entrada,,1,False,comportamiento,2025-03-02 14:43:00
low,estacionamiento,,-1,False,plagio,2025-09-28 09:40:00
low,aula,A705,7,False,plagio,2025-04-23 18:21:00
low,lia cook,,11,False,comportamiento,2025-09-07 02:03:00
medium,aula,S1102,11,False,plagio,2025-01-10 08:32:00
low,entrada,,1,False,plagio,2025-06-23 16:06:00
high,el café,,6,False,comportamiento,2025-07-27 22:15:00
low,comedor,,1,True,plagio,2025-01-16 21:43:00
high,entrada,,1,False,agresión,2025-07-11 13:29:00
medium,aula,A804,8,False,plagio,2025-07-18 20:37:00
low,dirección general,,10,False,plagio,2025-04-10 10:22:00
high,laboratorio,L407,4,False,discriminación,2025-02-28 09:03:00
medium,listo,,1,False,plagio,2025-05-07 08:25:00
medium,el café,,6,False,plagio,2025-08-23 23:05:00
low,entrada,,1,False,plagio,2025-03-07 09:12:00
low,sala sum,,1,False,plagio,2025-10-01 00:25:00
low,aula,M802,8,False,agresión,2025-02-28 02:01:00
medium,listo,,1,False,plagio,2025-04-25 19:40:00
low,patio,,-1,True,plagio,2025-07-23 15:29:00
low,lia cook,,11,False,plagio,2025-07-29 14:20:00
low,counter admisión,,1,False,plagio,2025-05-05 00:34:00
medium,oficina,P323,3,True,plagio,2025-09-02 17:35:00
low,aula magna,,-1,True,plagio,2025-03-09 21:07:00
low,sala de estudio,E815,8,False,comportamiento,2025-07-04 19:23:00
low,listo,,1,False,plagio,2025-10-09 03:36:00
low,estacionamiento,,-1,False,plagio,2025-01-14 13:51:00
low,estacionamiento,,-1,False,plagio,2025-05-20 09:11:00
medium,listo,,1,False,plagio,2025-03-02 21:08:00
low,counter alumnos,,1,False,plagio,2025-02-02 16:48:00
medium,laboratorio,L401,4,False,agresión,2025-01-17 16:27:00
low,estacionamiento,,-1,False,plagio,2025-01-11 07:44:00
medium,estacionamiento,,-1,False,comportamiento,2025-09-28 09:43:00
medium,sala de estudio,E816,8,False,plagio,2025-05-22 03:47:00
medium,listo,,1,False,plagio,2025-09-06 02:43:00
medium,entrada,,1,False,plagio,2025-05-26 12:32:00
low,almacén,,-1,True,plagio,2025-08-19 00:13:00
low,patio,,-1,True,plagio,2025-01-30 00:57:00
low,aula,M603,6,False,comportamiento,2025-10-23 08:44:00
medium,sala de estudio,E801,8,False,plagio,2025-09-09 09:30:00
low,sala sum,,1,False,comportamiento,2025-03-09 07:24:00
low,laboratorio,L210,2,True,agresión,2025-04-05 11:44:00
medium,laboratorio,L204,2,False,plagio,2025-08-07 02:32:00
low,dirección general,,10,False,comportamiento,2025-05-04 19:30:00
high,almacén,,-1,True,plagio,2025-04-05 00:10:00
medium,laboratorio,L209,2,True,comportamiento,2025-08-18 09:50:00
medium,entrada fase 2,,1,True,plagio,2025-08-15 03:06:00
low,counter alumnos,,1,False,plagio,2025-02-15 03:20:00
low,el café,,6,False,plagio,2025-04-25 23:11:00
low,entrada,,1,False,plagio,2025-10-16 13:37:00
low,entrada fase 2,,1,True,plagio,2025-02-18 13:35:00
low,entrada,,1,False,plagio,2025-08-15 20:31:00
high,dirección general,,10,False,plagio,2025-04-19 12:55:00
medium,sala de estudio,E816,8,False,plagio,2025-07-18 04:57:00
medium,listo,,1,False,plagio,2025-09-19 18:16:00
high,jardines,,6,False,agresión,2025-07-12 10:47:00
medium,listo,,1,False,plagio,2025-07-09 09:13:00
medium,oficina,P616,6,False,plagio,2025-05-23 18:14:00
low,sala sum,,1,False,plagio,2025-01-13 01:03:00
medium,estacionamiento,,-1,False,agresión,2025-01-22 01:01:00
low,comedor,,1,True,agresión,2025-08-24 22:01:00
low,dirección general,,10,False,plagio,2025-10-02 06:14:00
medium,aula magna,,-1,True,plagio,2025-05-03 05:39:00
low,sala sum,,1,False,plagio,2025-08-22 17:20:00
low,el café,,6,False,plagio,2025-05-21 06:58:00
medium,aula magna,,-1,True,agresión,2025-09-09 18:56:00
high,patio,,-1,True,comportamiento,2025-05-26 23:12:00
low,dirección general,,10,False,plagio,2025-07-19 00:48:00
medium,lia cook,,11,False,agresión,2025-09-21 08:13:00
low,entrada fase 2,,1,True,comportamiento,2025-06-17 20:28:00
low,sala sum,,1,False,comportamiento,2025-10-05 23:04:00
low,dirección general,,10,False,plagio,2025-09-15 13:15:00
high,sala de estudio,E1010,10,False,plagio,2025-01-01 08:48:00
low,estacionamiento,,-1,False,plagio,2025-02-06 07:40:00
high,counter admisión,,1,False,plagio,2025-05-31 08:27:00
low,estacionamiento,,-1,False,comportamiento,2025-02-01 08:20:00
medium,el café,,6,False,plagio,2025-03-30 15:08:00
medium,comedor,,1,True,comportamiento,2025-09-22 06:04:00
low,jardines,,6,False,plagio,2025-09-30 14:26:00
low,sala sum,,1,False,plagio,2025-08-21 00:39:00
low,comedor,,1,True,plagio,2025-05-07 01:47:00
low,counter alumnos,,1,False,plagio,2025-06-26 20:35:00
medium,aula,A801,8,False,plagio,2025-06-17 11:52:00
low,el café,,6,False,comportamiento,2025-05-04 03:27:00
low,aula,A903,9,False,plagio,2025-01-02 19:39:00
medium,lia cook,,11,False,plagio,2025-04-16 18:47:00
medium,counter admisión,,1,False,plagio,2025-06-30 02:24:00
low,el café,,6,False,plagio,2025-06-08 04:38:00
low,estacionamiento,,-1,False,plagio,2025-08-21 04:33:00
low,oficina,P614,6,False,plagio,2025-10-22 05:28:00
medium,entrada fase 2,,1,True,plagio,2025-01-24 07:34:00
low,counter alumnos,,1,False,agresión,2025-08-31 13:23:00
medium,dirección general,,10,False,plagio,2025-04-20 20:14:00
low,aula magna,,-1,True,plagio,2025-10-25 21:28:00
medium,sala sum,,1,False,comportamiento,2025-05-12 22:04:00
low,comedor,,1,True,plagio,2025-10-23 06:13:00
medium,aula magna,,-1,True,agresión,2025-09-02 08:07:00
low,estacionamiento,,-1,False,discriminación,2025-05-26 16:33:00
low,sala sum,,1,False,plagio,2025-02-12 10:29:00
low,lia cook,,11,False,comportamiento,2025-03-09 02:11:00
low,entrada,,1,False,plagio,2025-09-12 14:14:00
medium,aula,A704,7,False,plagio,2025-04-14 17:08:00
low,aula,A203,2,False,comportamiento,2025-10-23 00:53:00
low,sala sum,,1,False,agresión,2025-10-18 13:31:00
medium,sala sum,,1,False,plagio,2025-07-16 10:01:00
low,oficina,P308,3,False,agresión,2025-03-15 01:41:00
low,auditorio,,-1,False,discriminación,2025-03-29 12:46:00
medium,estacionamiento,,-1,False,plagio,2025-02-24 19:12:00
medium,auditorio,,-1,False,plagio,2025-06-08 08:53:00
low,sala sum,,1,False,comportamiento,2025-10-22 13:37:00
low,almacén,,-1,True,plagio,2025-01-22 17:27:00
medium,counter admisión,,1,False,plagio,2025-02-09 01:52:00
low,comedor,,1,True,plagio,2025-10-24 15:25:00
low,listo,,1,False,plagio,2025-02-12 05:21:00
high,counter alumnos,,1,False,plagio,2025-05-20 11:37:00
low,estacionamiento,,-1,False,plagio,2025-08-11 20:51:00
low,comedor,,1,True,plagio,2025-05-01 18:22:00
low,aula,A202,2,False,plagio,2025-10-01 07:27:00
low,lia cook,,11,False,agresión,2025-05-12 02:22:00
low,sala sum,,1,False,plagio,2025-08-13 14:39:00
high,lia cook,,11,False,comportamiento,2025-03-26 22:13:00
low,auditorio,,-1,False,discriminación,2025-10-03 19:51:00
medium,counter admisión,,1,False,plagio,2025-09-27 23:56:00
high,patio,,-1,True,plagio,2025-02-24 17:57:00
low,jardines,,6,False,comportamiento,2025-10-04 17:50:00
medium,lia cook,,11,False,plagio,2025-06-03 19:02:00
low,counter admisión,,1,False,comportamiento,2025-08-18 15:40:00
medium,aula magna,,-1,True,plagio,2025-09-26 07:17:00
low,laboratorio,L206,2,False,plagio,2025-08-20 22:28:00
low,sala sum,,1,False,comportamiento,2025-06-05 22:24:00
low,aula,A1002,10,False,agresión,2025-02-18 13:08:00
high,entrada fase 2,,1,True,plagio,2025-08-18 18:13:00
low,oficina,P326,3,True,plagio,2025-03-26 21:37:00
low,el café,,6,False,plagio,2025-04-30 02:53:00
low,entrada fase 2,,1,True,plagio,2025-03-09 11:41:00
low,jardines,,6,False,plagio,2025-03-29 22:48:00
medium,counter alumnos,,1,False,plagio,2025-05-15 14:57:00
high,el café,,6,False,plagio,2025-01-24 16:42:00
low,lia cook,,11,False,comportamiento,2025-02-16 15:57:00
high,listo,,1,False,plagio,2025-07-28 10:59:00
medium,jardines,,6,False,plagio,2025-08-02 03:42:00
high,entrada,,1,False,plagio,2025-03-31 05:33:00
medium,sala de estudio,E816,8,False,plagio,2025-08-19 02:15:00
medium,estacionamiento,,-1,False,plagio,2025-04-03 04:54:00
low,entrada,,1,False,plagio,2025-09-01 23:50:00
low,entrada,,1,False,agresión,2025-01-04 15:18:00
low,el café,,6,False,plagio,2025-07-15 16:53:00
low,sala de estudio,E812,8,False,plagio,2025-03-11 09:52:00
high,patio,,-1,True,agresión,2025-07-30 23:53:00
low,sala sum,,1,False,plagio,2025-03-08 12:37:00
medium,oficina,P505,5,False,plagio,2025-07-17 03:52:00
high,almacén,,-1,True,plagio,2025-09-06 21:35:00
medium,auditorio,,-1,False,plagio,2025-01-02 15:47:00
medium,dirección general,,10,False,plagio,2025-05-16 10:21:00
low,counter admisión,,1,False,plagio,2025-07-31 08:21:00
low,comedor,,1,True,plagio,2025-05-10 13:49:00
low,auditorio,,-1,False,plagio,2025-03-09 17:05:00
medium,comedor,,1,True,plagio,2025-06-18 07:22:00
medium,almacén,,-1,True,comportamiento,2025-01-07 00:20:00
medium,dirección general,,10,False,plagio,2025-06-06 16:16:00
low,lia cook,,11,False,plagio,2025-02-21 09:24:00
medium,listo,,1,False,plagio,2025-04-05 16:30:00
medium,laboratorio,L022,-2,False,plagio,2025-04-06 14:23:00
low,almacén,,-1,True,plagio,2025-08-11 03:30:00
low,aula magna,,-1,True,comportamiento,2025-01-27 08:11:00
medium,oficina,P504,5,False,plagio,2025-10-24 03:48:00
low,patio,,-1,True,plagio,2025-09-06 03:33:00
medium,el café,,6,False,comportamiento,2025-08-18 15:23:00
low,counter alumnos,,1,False,plagio,2025-09-03 01:59:00
low,estacionamiento,,-1,False,agresión,2025-08-19 14:15:00
low,sala sum,,1,False,comportamiento,2025-10-11 12:38:00
medium,patio,,-1,True,agresión,2025-01-15 09:54:00
low,el café,,6,False,plagio,2025-10-25 08:40:00
medium,sala sum,,1,False,plagio,2025-01-02 23:42:00
low,aula magna,,-1,True,plagio,2025-03-23 18:00:00
low,sala sum,,1,False,agresión,2025-08-07 23:43:00
low,sala sum,,1,False,plagio,2025-09-25 00:54:00
high,aula magna,,-1,True,plagio,2025-04-03 04:14:00
low,entrada fase 2,,1,True,plagio,2025-06-07 03:48:00
low,patio,,-1,True,plagio,2025-03-19 08:14:00
low,el café,,6,False,plagio,2025-10-02 17:13:00
medium,counter alumnos,,1,False,plagio,2025-04-15 02:28:00
medium,aula,M604,6,False,plagio,2025-04-16 11:19:00
low,el café,,6,False,plagio,2025-02-08 23:01:00
high,listo,,1,False,plagio,2025-01-11 23:21:00
low,aula magna,,-1,True,comportamiento,2025-10-25 02:48:00
medium,jardines,,6,False,plagio,2025-09-10 20:15:00
medium,sala sum,,1,False,plagio,2025-07-13 08:14:00
low,entrada fase 2,,1,True,plagio,2025-08-26 17:43:00
low,aula magna,,-1,True,plagio,2025-02-06 22:16:00
low,el café,,6,False,plagio,2025-08-29 16:11:00
medium,dirección general,,10,False,robo,2025-04-04 01:22:00
high,counter admisión,,1,False,plagio,2025-07-21 16:34:00
low,listo,,1,False,discriminación,2025-05-26 08:41:00
medium,oficina,P617,6,False,agresión,2025-03-17 21:41:00
low,sala de estudio,E802,8,False,plagio,2025-09-15 09:00:00
low,listo,,1,False,comportamiento,2025-07-17 13:45:00
medium,el café,,6,False,comportamiento,2025-04-18 10:08:00
medium,aula magna,,-1,True,comportamiento,2025-08-09 15:31:00
low,jardines,,6,False,plagio,2025-05-30 03:03:00
low,aula magna,,-1,True,agresión,2025-10-25 06:57:00
medium,counter admisión,,1,False,plagio,2025-01-15 01:40:00
medium,patio,,-1,True,plagio,2025-08-23 01:06:00
low,listo,,1,False,plagio,2025-02-19 02:12:00
low,entrada fase 2,,1,True,plagio,2025-09-13 07:08:00
medium,dirección general,,10,False,plagio,2025-08-08 04:45:00
medium,jardines,,6,False,plagio,2025-06-08 11:01:00
medium,el café,,6,False,agresión,2025-05-17 10:50:00
low,counter alumnos,,1,False,agresión,2025-03-08 18:34:00
low,almacén,,-1,True,agresión,2025-02-22 06:20:00
low,entrada fase 2,,1,True,plagio,2025-02-12 17:28:00
low,jardines,,6,False,plagio,2025-01-01 05:12:00
medium,counter alumnos,,1,False,plagio,2025-04-11 09:45:00
medium,entrada,,1,False,plagio,2025-05-08 14:34:00
medium,estacionamiento,,-1,False,comportamiento,2025-08-10 09:07:00
medium,laboratorio,L210,2,True,plagio,2025-02-08 23:05:00
low,aula magna,,-1,True,plagio,2025-07-11 03:24:00
low,entrada,,1,False,plagio,2025-03-30 22:21:00
medium,listo,,1,False,comportamiento,2025-10-21 19:00:00
high,auditorio,,-1,False,agresión,2025-01-25 17:41:00
low,aula,M604,6,False,plagio,2025-07-22 23:15:00
low,aula,M302,3,True,plagio,2025-06-25 14:40:00
low,sala de estudio,E1002,10,False,plagio,2025-06-02 01:33:00
low,sala sum,,1,False,agresión,2025-09-10 18:14:00
medium,jardines,,6,False,plagio,2025-04-19 13:01:00
low,oficina,P309,3,False,plagio,2025-06-07 15:11:00
low,oficina,P308,3,False,plagio,2025-06-21 12:55:00
medium,aula magna,,-1,True,plagio,2025-09-26 05:31:00
low,estacionamiento,,-1,False,comportamiento,2025-05-17 08:44:00
low,patio,,-1,True,plagio,2025-03-29 10:03:00
low,sala sum,,1,False,plagio,2025-09-09 05:27:00
medium,laboratorio,L411,4,False,comportamiento,2025-07-10 03:19:00
medium,oficina,P201,2,False,plagio,2025-09-24 22:36:00
low,entrada fase 2,,1,True,plagio,2025-03-21 15:49:00
low,sala sum,,1,False,plagio,2025-05-06 10:40:00
low,sala de estudio,E812,8,False,plagio,2025-06-19 17:44:00
low,jardines,,6,False,plagio,2025-01-22 22:15:00
medium,entrada fase 2,,1,True,plagio,2025-04-10 05:01:00
medium,counter alumnos,,1,False,plagio,2025-08-16 06:31:00
medium,comedor,,1,True,robo,2025-10-22 23:18:00
medium,patio,,-1,True,plagio,2025-03-28 15:08:00
low,oficina,P326,3,True,plagio,2025-02-22 19:06:00
medium,estacionamiento,,-1,False,agresión,2025-04-13 05:33:00
low,estacionamiento,,-1,False,discriminación,2025-10-17 13:24:00
medium,entrada fase 2,,1,True,plagio,2025-09-23 05:02:00
low,entrada,,1,False,comportamiento,2025-10-19 02:28:00
medium,counter alumnos,,1,False,agresión,2025-01-17 03:15:00
low,estacionamiento,,-1,False,plagio,2025-10-26 02:30:00
medium,dirección general,,10,False,plagio,2025-03-26 22:20:00
low,entrada fase 2,,1,True,plagio,2025-08-13 10:43:00
low,almacén,,-1,True,comportamiento,2025-08-30 19:03:00
low,entrada,,1,False,comportamiento,2025-03-17 12:01:00
medium,sala sum,,1,False,plagio,2025-06-17 12:58:00
high,aula,A602,6,False,plagio,2025-04-03 08:29:00
low,almacén,,-1,True,plagio,2025-04-23 05:04:00
medium,listo,,1,False,plagio,2025-05-23 08:39:00
low,almacén,,-1,True,plagio,2025-02-24 17:40:00
medium,el café,,6,False,discriminación,2025-03-13 11:43:00
high,entrada,,1,False,plagio,2025-02-05 00:38:00
low,auditorio,,-1,False,plagio,2025-09-04 15:36:00
low,patio,,-1,True,plagio,2025-09-06 06:34:00
high,lia cook,,11,False,comportamiento,2025-09-13 12:47:00
low,jardines,,6,False,plagio,2025-08-14 04:27:00
low,laboratorio,L406,4,False,plagio,2025-01-15 09:46:00
high,aula,M602,6,False,plagio,2025-01-06 10:15:00
medium,almacén,,-1,True,plagio,2025-06-03 03:58:00
low,sala de estudio,E813,8,False,plagio,2025-06-28 11:32:00
low,entrada,,1,False,plagio,2025-07-10 16:12:00
medium,sala sum,,1,False,plagio,2025-06-30 19:07:00
low,lia cook,,11,False,agresión,2025-05-02 11:17:00
medium,dirección general,,10,False,plagio,2025-01-24 17:43:00
high,aula,M603,6,False,plagio,2025-10-13 21:28:00
low,aula magna,,-1,True,plagio,2025-01-16 07:28:00
low,estacionamiento,,-1,False,plagio,2025-01-11 08:17:00
low,aula,A904,9,False,plagio,2025-01-19 07:49:00
medium,jardines,,6,False,plagio,2025-04-25 03:30:00
low,estacionamiento,,-1,False,plagio,2025-09-14 15:16:00
medium,entrada fase 2,,1,True,plagio,2025-01-16 17:58:00
medium,almacén,,-1,True,plagio,2025-06-18 12:54:00
medium,comedor,,1,True,comportamiento,2025-06-02 17:57:00
low,patio,,-1,True,plagio,2025-08-21 01:14:00
low,aula magna,,-1,True,plagio,2025-02-24 21:28:00
low,el café,,6,False,plagio,2025-10-24 17:41:00
medium,entrada fase 2,,1,True,plagio,2025-06-05 09:25:00
low,estacionamiento,,-1,False,plagio,2025-06-29 15:02:00
high,comedor,,1,True,plagio,2025-05-30 23:50:00
low,estacionamiento,,-1,False,plagio,2025-04-02 05:34:00
medium,entrada fase 2,,1,True,plagio,2025-06-13 21:50:00
low,entrada fase 2,,1,True,agresión,2025-09-29 14:59:00
high,entrada fase 2,,1,True,plagio,2025-02-25 06:42:00
low,aula,M601,6,False,plagio,2025-03-26 22:34:00
medium,dirección general,,10,False,plagio,2025-03-01 17:54:00
low,oficina,P204,2,False,plagio,2025-10-12 00:19:00
low,comedor,,1,True,plagio,2025-06-23 12:59:00
low,laboratorio,L201,2,False,plagio,2025-05-15 04:03:00
medium,almacén,,-1,True,plagio,2025-04-15 19:39:00
low,counter admisión,,1,False,plagio,2025-09-10 11:45:00
medium,counter alumnos,,1,False,plagio,2025-08-19 02:21:00
medium,jardines,,6,False,plagio,2025-01-25 04:22:00
medium,dirección general,,10,False,plagio,2025-08-28 18:37:00
low,el café,,6,False,plagio,2025-04-18 08:39:00
low,sala de estudio,E804,8,False,comportamiento,2025-03-30 22:37:00
low,sala de estudio,E1007,10,False,plagio,2025-01-31 01:44:00
low,counter admisión,,1,False,plagio,2025-06-29 16:31:00
low,auditorio,,-1,False,plagio,2025-10-19 06:06:00
low,dirección general,,10,False,agresión,2025-03-22 20:15:00
low,estacionamiento,,-1,False,plagio,2025-09-17 08:00:00
medium,entrada,,1,False,plagio,2025-10-10 16:06:00
medium,jardines,,6,False,plagio,2025-10-26 09:50:00
medium,aula magna,,-1,True,plagio,2025-06-30 16:49:00
low,aula,A701,7,False,plagio,2025-04-10 00:36:00
high,lia cook,,11,False,plagio,2025-02-16 23:30:00
high,laboratorio,L410,4,False,plagio,2025-09-05 22:45:00
low,oficina,P201,2,False,plagio,2025-06-24 09:50:00
low,oficina,P322,3,True,plagio,2025-08-14 14:40:00
low,counter admisión,,1,False,agresión,2025-05-03 18:01:00
medium,sala sum,,1,False,plagio,2025-07-04 11:55:00
low,sala sum,,1,False,plagio,2025-09-30 02:04:00
low,comedor,,1,True,agresión,2025-08-12 02:10:00
low,entrada,,1,False,plagio,2025-04-29 02:02:00
low,counter admisión,,1,False,comportamiento,2025-06-27 02:48:00
low,sala de estudio,E810,8,False,plagio,2025-01-24 22:16:00
low,counter alumnos,,1,False,plagio,2025-01-14 15:16:00
